component,description,classification,evidence_path,notes
Chicago 311 Raw Data Downloader,Python script querying City of Chicago Socrata API for 311 service requests (2020-2025),VERIFIED,backend/ai_service/download_chicago_311.py,Successfully acquired historical records for 10 target complaint types
Historical Complaint Dataset,Raw and processed CSV containing weekly community area complaint counts (2020-2025),VERIFIED,backend/ai_service/data/processed/base_dataset.csv,470MB raw / weekly aggregated grid dataset
Feature Engineering Pipeline (Python),Vectorized Pandas script generating lag rolling seasonal and spatial features,VERIFIED,backend/ai_service/feature_engineering_mongodb.py,Generates 36 valid features; enforces strict chronological boundaries
Feature Dictionary,CSV documenting 36 valid model features and forbidden leakage columns,VERIFIED,backend/ai_service/data/processed/final_feature_dictionary.csv,Explicitly audits latest possible info date and leakage status
Final Research Dataset,Curated 240240 observation dataset partitioned into TRAIN (2020-2023) VAL (2024) and TEST (2025),VERIFIED,backend/ai_service/data/processed/final_research_dataset.csv,62MB CSV with complete temporal splits and targets
Target Definition: Binary Complaint Presence,Binary target indicating future complaint presence (count > 0) with ~89.98% test positive rate,VERIFIED,backend/ai_service/run_experiments.py,Evaluated on baseline ML models (Persistence Frequency LR RF XGBoost)
Target Definition: Escalation Surge,Binary target indicating complaint surge (future_count >= 1.5 * rolling_mean_4w) with 23.3% positive rate,VERIFIED,backend/ai_service/run_verification_experiment.py,Evaluated in verification and exploration ablation studies
Persistence Baseline Model,Rule-based benchmark predicting future complaint if previous week had complaints,VERIFIED,backend/ai_service/run_experiments.py,Test Accuracy: 88.40% F1: 0.9356 ROC-AUC: 0.6716 PR-AUC: 0.9319 Brier: 0.1160
Frequency Baseline Model,Base-rate benchmark predicting future complaint based on historical 4-week activity,VERIFIED,backend/ai_service/run_experiments.py,Test Accuracy: 89.98% F1: 0.9473 ROC-AUC: 0.5000 PR-AUC: 0.8998 Brier: 0.1002
Logistic Regression Model,L2-regularized linear baseline with StandardScaler and OneHotEncoder,VERIFIED,backend/ai_service/run_experiments.py,Test Accuracy: 91.04% F1: 0.9518 ROC-AUC: 0.9000 PR-AUC: 0.9876 Brier: 0.1328
Random Forest Classifier,100-tree ensemble classifier with balanced class weighting,VERIFIED,backend/ai_service/run_experiments.py,Test Accuracy: 91.38% F1: 0.9537 ROC-AUC: 0.9042 PR-AUC: 0.9881 Brier: 0.1007
XGBoost Classifier (Production),Gradient boosted tree model with log-loss objective and calibrated probability outputs,VERIFIED,backend/ai_service/run_experiments.py,Test Accuracy: 91.59% F1: 0.9547 ROC-AUC: 0.9086 PR-AUC: 0.9887 Brier: 0.0622
Saved XGBoost Pipeline Artifacts,Serialized Joblib pipeline (.pkl) and preprocessor artifacts for production deployment,VERIFIED,backend/ai_service/data/models/xgboost_model.pkl,771KB model artifact loaded by FastAPI microservice
FastAPI Inference Microservice,High-performance Python service exposing REST endpoints for prediction and batch scoring,VERIFIED,backend/ai_service/app/main.py,Pydantic validation + Uvicorn server on port 8000
Exploitation-Only Verification Policy,Selects top K% predicted risk candidates for simulated inspection,VERIFIED,backend/ai_service/run_verification_experiment.py,Evaluated at 5% 10% and 20% budgets across 52 weeks of 2025
Exploit-Explore Verification Policy (90/10),Allocates 90% budget to top risk and 10% to randomized exploration,VERIFIED,backend/ai_service/run_verification_experiment.py,Test 10% budget: +65 escalations +27 community areas +97 low-risk discoveries
Exploration Ratio Sensitivity Ablation,Ablation evaluating 0% 5% 10% 15% 20% 30% exploration across 4 random seeds,VERIFIED,backend/ai_service/run_exploration_ablation_study.py,Confirms 10% exploration provides optimal trade-off across seeds 42 123 2024 999
Synthetic Officer Pool Generator,Generates synthetic municipal inspector profiles with department quotas and shifts,VERIFIED,backend/ai_service/create_officer_pool.py,273 synthetic officers across 7 municipal departments
Multi-Objective Officer Assignment Heuristic,Assigns inspections using composite score (0.40 Risk + 0.30 Distance + 0.30 Workload),VERIFIED,backend/ai_service/officer_assignment.py,Reduces travel distance by 9.4% to 15.3% while preserving 100% discovery
Officer Assignment Robustness Evaluation,Multi-seed backtest of officer assignment policies,VERIFIED,backend/ai_service/assignment_evaluation.py,Verified across 4 random seeds; detailed in officer_assignment_final_report.txt
Express.js Backend REST API,Enterprise REST API with JWT authentication RBAC rate-limiting and audit middleware,VERIFIED,backend/src/app.js,Node.js 20+ Express framework running on port 5000
Mongoose Relational Audit Models,10 Mongoose schemas maintaining full lifecycle links across predictions and verifications,VERIFIED,backend/src/models/index.js,Schemas: Prediction PredictionCycle Verification Assignment Officer etc.
Automated Retraining Service,Node.js scheduler monitoring verification counts and triggering retrain jobs,PARTIALLY VERIFIED,backend/src/services/retrainingService.js,Code implemented and triggers train_from_mongodb.py; multi-cycle feedback benchmark not backtested
Field Verification Submission API,Endpoint allowing officers to submit ground-truth field observations,VERIFIED,backend/src/controllers/officerController.js,Verified via automated integration test suites
React 18 Operational Dashboard,Interactive web dashboard with Leaflet GIS heatmaps and Chart.js analytics,VERIFIED,frontend/src/App.jsx,React 18 + Vite + Leaflet + Vanilla CSS glassmorphic UI
Automated Backend Test Suites,17 automated test suites testing auth RBAC assignment and prediction lifecycle,VERIFIED,backend/tests/,Supertest and native Node test runner validation
Online Reinforcement Learning / Bandit Retraining,Adaptive bandit updating or real-time continuous model weight adaptation,PROPOSED,backend/README.md,Identified as future research improvement; not currently implemented
Physical Real-World Field Inspection Trial,Real-world deployment with physical human municipal officers in Chicago,PROPOSED,README.md,All verification experiments are retrospective historical backtests
Spatial Graph Neural Network (ST-GNN),Transformer or Graph Neural Network on road network adjacency,PROPOSED,README.md,Current spatial modeling uses community area centroids and neighbor averages
